186742
 Atoms. Timestep: 1300
1 -49.0686 -0.907683 -19.2758
1 -48.3701 0.360246 -16.1028
1 -48.8669 0.418575 -15.1224
1 -50.5686 0.59571 -17.3321
1 -49.8065 0.702146 -14.7868
1 -50.7853 0.647038 -15.3542
1 -50.3309 1.68053 -14.7026
1 -49.328 0.0472972 -15.9862
1 -50.5714 -0.177849 -17.9801
1 -51.3165 0.550277 -18.8589
1 -49.5505 -0.421133 -17.9594
1 -49.057 1.33129 -15.8432
1 -50.3081 2.08008 -16.1354
1 -49.6433 1.49074 -16.8467
1 -51.1537 -0.111887 -16.681
1 -50.1609 0.735677 -16.4189
1 -49.8631 0.701307 -18.4561
1 -48.3916 2.25153 -18.5519
1 -50.1629 1.72037 -18.4227
1 -49.7289 0.921537 -19.4332
1 -48.8763 1.09232 -18.1044
1 -49.238 -0.257463 -16.9447
1 -51.7526 -4.16408 -11.181
1 -50.9603 -4.03588 -12.4054
1 -49.3734 -5.40653 -13.3968
1 -50.9794 -5.54666 -9.84511
1 -48.6508 -2.88972 -12.7932
1 -51.3308 -2.48817 -16.3722
1 -50.3772 -1.7658 -16.6583
1 -50.3696 -2.76628 -16.5188
1 -48.5435 -0.87014 -16.3504
1 -50.9293 -6.97172 -18.0342
1 -51.7878 -6.79865 -16.2142
1 -51.9239 -5.14585 -16.5435
1 -51.5229 -6.24181 -15.4134
1 -49.7059 -7.35614 -18.0317
1 -49.7796 -5.33376 -17.8444
1 -50.2057 -6.33032 -17.4966
1 -50.8784 -7.53085 -16.1405
1 -51.1987 -7.94056 -15.2419
1 -50.3675 -6.04188 -15.3197
1 -51.2296 -5.68989 -17.4647
1 -50.1857 -7.06342 -15.3503
1 -49.805 -7.05019 -16.9089
1 -49.7609 -6.32454 -18.8043
1 -49.2103 -6.47831 -17.6426
1 -51.0669 -7.44911 -17.1467
1 -50.6413 -6.02603 -18.3556
1 -49.5316 -1.10603 -16.4803
1 -50.9429 -2.8454 -15.4179
1 -53.4004 -0.834785 -14.5245
1 -52.5448 -3.55213 -11.3132
1 -49.0651 -2.15432 -14.7073
1 -55.1573 -2.12489 -11.6431
1 -51.8824 -1.12907 -10.8333
1 -51.9702 -1.63442 -13.9422
1 -54.8159 -2.42458 -13.8223
1 -54.3956 -1.08168 -14.5317
1 -54.6438 -1.5595 -13.3307
1 -51.2584 -2.10809 -13.4049
1 -51.3044 -1.46929 -16.3286
1 -52.6096 -0.854265 -13.8956
1 -48.7746 -4.69976 -12.9187
1 -49.5792 -0.448522 -13.308
1 -53.7444 -1.33497 -12.7312
1 -49.8191 -3.20402 -12.1844
1 -49.1525 -1.12192 -14.6415
1 -51.0744 -3.04344 -13.025
1 -53.0516 -4.31941 -13.8375
1 -50.6116 -2.40109 -14.3297
1 -52.9775 -3.11967 -13.7538
1 -52.5336 -5.97669 -10.9071
1 -52.8744 -5.02677 -9.56215
1 -53.5444 -4.81112 -11.0368
1 -52.9658 -6.22505 -13.1989
1 -52.5431 -4.81501 -10.9102
1 -49.4737 -4.40883 -13.5877
1 -50.7092 -4.91885 -11.6622
1 -53.1802 -1.93038 -11.2384
1 -49.9698 -2.35628 -15.1105
1 -50.83 -2.70083 -10.4798
1 -54.5054 -0.854321 -12.2726
1 -52.3867 0.718064 -12.8268
1 -53.4659 -0.309018 -11.607
1 -54.3816 -3.99514 -12.6019
1 -53.905 -1.3429 -11.6244
1 -54.5142 -3.0611 -12.9825
1 -54.8408 -3.52318 -13.8194
1 -55.3001 -2.67208 -12.4801
1 -53.7281 -0.809093 -10.7703
1 -52.2437 -0.158672 -11.2436
1 -49.5517 -3.73369 -14.334
1 -47.8851 -3.68566 -13.6213
1 -50.12 -4.03072 -15.114
1 -48.581 -3.89165 -14.5652
1 -50.3586 -3.4096 -13.6444
1 -50.9157 -1.58321 -12.6134
1 -49.6742 -2.74976 -14.133
1 -52.6782 0.0440488 -12.1317
1 -51.4197 0.0923379 -14.6691
1 -48.0436 -1.66272 -13.6124
1 -52.4983 0.186427 -13.6778
1 -50.8337 -0.0664651 -13.8629
1 -52.5097 -0.52946 -12.9446
1 -51.1004 -4.24408 -15.0036
1 -47.9361 -2.66134 -13.4732
1 -52.7631 -5.21847 -13.4788
1 -50.6049 0.00886221 -19.3267
1 -50.6368 -0.498264 -20.7926
1 -50.359 -0.828504 -19.8574
1 -51.4859 0.35836 -17.6801
1 -51.9303 -1.92975 -18.186
1 -51.498 -0.389566 -18.4404
1 -52.2722 -0.922914 -19.124
1 -52.1906 -0.97445 -17.9489
1 -50.7935 -1.24063 -17.8706
1 -56.9927 -2.37964 -18.6944
1 -57.7213 -1.71728 -18.9539
1 -56.8194 -3.02208 -17.9345
1 -57.3954 -2.4102 -16.3729
1 -56.7391 -2.37411 -17.1608
1 -51.0409 -1.53759 -18.8037
1 -52.8107 -0.280033 -18.3707
1 -51.8422 -0.692925 -15.9009
1 -52.2187 0.554308 -18.346
1 -50.6565 0.854945 -19.8769
1 -51.2817 -0.738511 -19.4059
1 -49.9253 0.260715 -20.5004
1 -48.8572 -3.41645 -13.6738
1 -51.2984 -1.67668 -11.6842
1 -49.9238 -1.66907 -10.9173
1 -52.4272 -5.39913 -11.7283
1 -52.7396 -2.61589 -10.6428
1 -52.1378 -5.28847 -12.6888
1 -51.1247 -1.95614 -9.86203
1 -52.0906 -1.50089 -9.91729
1 -51.0536 -3.01237 -9.44436
1 -49.6136 -4.21596 -8.45109
1 -49.8749 -3.00186 -8.81642
1 -50.8571 -4.59057 -8.58102
1 -49.9913 -1.5735 -8.77902
1 -50.4694 -3.68298 -8.36731
1 -51.5468 -4.64637 -7.79218
1 -52.6053 -5.79242 -8.39253
1 -52.4884 -6.07239 -7.42334
1 -51.4902 -6.02999 -8.05142
1 -51.1099 -5.53205 -8.84324
1 -50.6813 -3.94719 -9.35752
1 -52.2702 -4.85053 -8.5321
1 -50.1728 -4.82936 -9.40907
1 -51.5331 -1.5231 -8.28202
1 -50.1563 -4.21987 -7.56911
1 -50.9249 -2.25897 -8.7852
1 -50.9795 -1.30007 -9.09961
1 -52.6482 0.571191 -10.6675
1 -51.277 -0.838096 -10.0717
1 -48.2305 -3.80456 -12.6751
1 -50.0325 -4.17826 -12.0302
1 -53.7348 -1.37602 -13.7402
1 -53.0904 -4.45426 -14.8731
1 -50.2784 -5.15523 -13.7656
1 -53.5169 -3.65113 -14.4335
1 -51.6788 -3.39307 -14.9924
1 -54.4446 -3.03435 -14.723
1 -54.1023 -4.16653 -13.5695
1 -53.974 -2.98097 -13.8318
1 -51.6406 -0.0540704 -13.203
1 -52.2315 -2.04578 -11.5632
1 -50.9456 -1.83663 -15.4576
1 -51.4002 -4.6897 -13.036
1 -52.8148 -0.990137 -11.1966
1 -52.6426 -1.5199 -13.0851
1 -50.6469 -2.40649 -11.4363
1 -51.8901 -1.83253 -12.4898
1 -50.4218 -0.104401 -14.7833
1 -51.4452 -2.90341 -14
1 -49.6728 -4.85764 -15.4822
1 -52.3505 -2.63676 -14.3811
1 -49.6782 -2.54262 -10.4758
1 -52.1672 -3.59916 -14.1167
1 -53.8946 -2.25895 -13.1286
1 -50.2597 -2.25372 -13.3938
1 -50.0219 -3.19696 -15.6752
1 -50.8437 -3.75616 -15.8494
1 -52.0696 -4.54488 -13.7771
1 -49.2396 -3.82252 -12.7367
1 -53.3926 -3.00359 -11.3115
1 -52.3714 -4.30799 -12.8133
1 -53.2677 -5.95864 -11.7415
1 -54.6557 -4.43447 -10.7076
1 -53.8976 -5.10995 -11.9339
1 -52.0282 -3.39613 -13.0772
1 -49.065 -4.45955 -11.9731
1 -48.9075 -2.28555 -13.6416
1 -51.9811 -0.941644 -11.8236
1 -50.4728 -4.2602 -14.1932
1 -49.7753 -4.9916 -12.5695
1 -51.2871 -3.84985 -13.6296
1 -50.9297 -1.49005 -10.7626
1 -51.1011 -3.12255 -11.9954
1 -51.9513 -1.56096 -15.3925
1 -51.5214 -2.14469 -14.6881
1 -50.1801 -4.12491 -10.3203
1 -49.6003 -2.5085 -11.4839
1 -51.6276 -4.69726 -12.0356
1 -51.6065 -0.697148 -14.0415
1 -53.098 0.130691 -14.491
1 -50.8857 -1.43835 -14.0616
1 -49.6749 -5.64522 -14.4092
1 -52.9071 -1.10274 -12.1952
1 -50.3429 -0.809902 -11.2452
1 -49.8144 -1.40674 -13.0725
1 -50.2714 -1.43341 -9.99949
1 -53.2836 -3.61225 -8.89905
1 -54.2013 -5.29779 -10.4359
1 -52.4962 -4.15274 -9.22692
1 -52.2339 0.797093 -11.5704
1 -51.1474 -5.56995 -13.4629
1 -53.7556 -2.43599 -15.759
1 -52.4494 -1.81827 -16.2391
1 -54.0931 -2.03744 -14.4137
1 -52.0548 -4.09817 -16.7742
1 -50.7197 -3.65644 -16.8479
1 -51.0083 -2.8382 -17.3807
1 -49.497 -3.86864 -16.2189
1 -48.5707 -2.52904 -15.5066
1 -48.4638 -0.890342 -15.3442
1 -49.4555 -2.40792 -15.9772
1 -50.2253 -1.40079 -14.9001
1 -49.3061 -1.49506 -15.5732
1 -49.938 -3.35194 -17.9801
1 -49.1533 -3.27767 -15.1456
1 -48.8458 -3.92421 -16.9936
1 -50.9234 -3.87393 -17.8269
1 -49.9148 -4.22724 -17.0835
1 -49.1003 -1.95792 -16.8083
1 -48.1875 -2.42112 -18.1113
1 -48.2233 -1.82951 -17.2926
1 -48.9754 -3.12302 -17.7318
1 -51.8467 -4.00095 -20.6327
1 -51.5176 -5.54986 -20.4572
1 -49.5397 -3.61737 -19.3873
1 -50.6319 -5.00338 -19.9914
1 -51.5022 -3.65587 -19.5213
1 -50.3647 -3.78221 -19.9655
1 -51.592 -4.71912 -19.6577
1 -49.4242 -2.92123 -16.8485
1 -51.1572 -4.56573 -16.869
1 -54.7295 -2.68095 -15.6261
1 -51.962 -6.12065 -13.2355
1 -48.6693 -1.70377 -12.8181
1 -50.2254 -1.59443 -11.8776
1 -50.7958 -3.94256 -11.4138
1 -48.9169 -1.82727 -10.805
1 -48.7683 -0.10154 -8.4023
1 -48.402 -1.29726 -11.5156
1 -52.6879 -3.39363 -14.9591
1 -51.6344 -1.05827 -13.0941
1 -51.7426 -2.11131 -10.6495
1 -53.5301 -2.14104 -12.163
1 -58.0922 -5.41834 -1.93911
1 -57.5298 -4.95223 -2.64343
1 -58.9517 -5.44145 -0.36226
1 -58.6689 -3.8141 -1.11171
1 -58.7919 -4.54559 -1.84187
1 -57.1086 -4.10174 -4.46479
1 -57.5864 -3.50318 -2.43752
1 -56.0526 -4.39056 0.891944
1 -54.6593 -2.9794 0.732459
1 -55.7515 -4.02484 2.8539
1 -56.4607 -3.61464 2.02842
1 -56.7603 -3.65684 3.21104
1 -54.9274 -3.21789 3.14525
1 -53.7645 -2.47047 4.87098
1 -54.1614 -1.16073 4.1171
1 -54.5223 -2.10834 4.2433
1 -54.6634 -3.09948 4.112
1 -55.7413 -3.48673 3.70752
1 -55.6916 -3.20024 1.21437
1 -54.6526 -3.7876 1.3915
1 -48.9956 -4.54563 1.04519
1 -48.0808 -6.02671 0.2231
1 -47.7659 -4.64976 2.50674
1 -49.0984 -3.58511 0.730072
1 -47.3208 -4.0161 1.28249
1 -49.3471 -4.87928 2.54209
1 -48.324 -3.74335 2.36471
1 -48.0335 -5.74991 1.52279
1 -48.5214 -4.92208 1.86621
1 -46.82 -4.91605 0.595755
1 -48.3347 -3.37963 1.41542
1 -48.8896 -5.55001 0.90583
1 -51.5448 -4.05888 -2.45039
1 -51.3825 -7.1089 -2.55407
1 -49.7656 -6.94558 -4.89524
1 -49.7873 -6.07975 -5.46203
1 -49.1096 -5.32829 -5.51578
1 -49.8821 -5.74943 -4.36324
1 -50.0611 -7.84631 -5.36529
1 -51.3126 -5.36369 -2.72433
1 -51.8617 -5.44817 -1.12067
1 -52.6196 -5.71016 -1.78012
1 -51.4975 -6.28408 -1.72845
1 -50.7217 -6.53713 -3.29033
1 -50.7565 -5.26112 -0.675554
1 -51.627 -6.83289 0.388041
1 -51.0291 -5.38344 -1.72681
1 -50.7167 -6.13115 -2.35182
1 -51.8854 -1.00687 -0.605019
1 -52.0806 -0.292629 -1.34187
1 -51.9441 -2.04006 -0.940244
1 -51.4535 -5.84512 -3.60108
1 -49.8807 -6.72761 -2.21292
1 -50.5115 -7.166 -1.52494
1 -51.0022 -6.11571 0.0484193
1 -50.5824 -7.23455 -0.400118
1 -51.4643 -7.6606 -0.71701
1 -52.4083 -8.0358 -1.35178
1 -50.3372 -8.25269 -0.279569
1 -49.9938 -8.38145 -2.2598
1 -48.9372 -5.98395 -0.75426
1 -49.2414 -6.12898 -1.70585
1 -48.1019 -6.69339 -0.980596
1 -47.3588 -7.70995 -3.14692
1 -47.9299 -6.8681 -3.55374
1 -47.3848 -6.74706 -2.658
1 -48.589 -7.66899 -3.78938
1 -47.9702 -8.51959 -3.71933
1 -48.9501 -7.03142 -0.230633
1 -50.2033 -9.10077 -1.02398
1 -49.21 -9.25476 -1.19844
1 -50.477 -8.15727 -1.29857
1 -51.315 -8.71766 -0.39428
1 -50.0403 -6.45903 -0.768933
1 -50.4588 -7.48317 -2.8145
1 -52.0445 -6.70167 -3.21517
1 -50.0154 -4.11062 -2.01471
1 -49.9396 -5.06605 -2.82683
1 -50.6856 -4.37746 -2.89
1 -50.0402 -5.51597 -1.9225
1 -50.8312 -4.42307 -1.47108
1 -49.4886 -5.02807 -1.22704
1 -51.6259 -3.7685 -1.36985
1 -49.3886 -5.7447 1.9445
1 -48.1983 -4.06536 0.630219
1 -48.9959 -1.93696 -1.26015
1 -49.8885 -2.86542 0.16566
1 -48.6595 -1.06648 -0.587495
1 -47.7557 -4.91052 0.979212
1 -54.6857 -4.72358 1.82067
1 -55.5078 -4.02076 1.87474
1 -56.2151 -3.53492 0.379675
1 -57.9701 -2.13238 -2.67933
1 -58.9012 -2.61216 -3.96885
1 -58.8581 -2.52371 -2.96371
1 -56.4624 -3.53637 -2.45426
1 -57.6386 -2.68065 -1.85509
1 -58.7151 -3.57784 -4.47423
1 -59.7997 -3.45062 -3.46563
1 -59.3032 -4.22434 -3.96953
1 -59.5171 -2.993 -4.67384
1 -57.9592 -4.02117 -3.87197
1 -58.6499 -3.2613 -2.15887
1 -56.7377 -4.83892 -3.82363
1 -56.9282 -3.22187 -3.96428
1 -57.0635 -3.88356 -3.21307
1 -58.243 -4.23745 -2.66319
1 -57.7228 -4.98007 -3.64608
1 -59.5106 -4.38012 -0.959944
1 -58.9205 -5.41456 -2.53434
1 -58.5721 -6.97079 -2.25688
1 -59.1276 -4.55722 -3.03217
1 -59.6692 -5.04096 -1.75356
1 -59.422 -6.64868 -1.79311
1 -57.709 -4.43878 -1.69862
1 -59.7719 -5.95971 -2.45328
1 -58.507 -6.25792 -1.54296
1 -57.3456 -4.21179 0.394393
1 -57.4865 -4.56658 -0.57904
1 -56.5721 -4.16338 -0.421686
1 -59.3611 -5.82918 -1.20297
1 -60.4852 -5.635 -1.72075
1 -59.6799 -4.00339 -2.19
1 -57.6732 -5.54863 -0.744189
1 -57.0093 -6.30465 -0.641167
1 -57.1147 -5.26709 -1.67725
1 -58.391 -4.84544 -0.954539
1 -53.0175 -2.68903 -12.8388
1 -49.3822 -0.14039 -14.4275
1 -52.9447 -0.362791 -10.3102
1 -53.3647 -4.48595 -12.8921
1 -50.7115 0.84885 -14.2734
1 -52.8731 -3.52131 -12.2855
1 -48.4825 -0.478061 -14.1144
1 -52.0912 -4.31648 -14.8226
1 -51.8992 -3.72894 -12.1224
1 -53.2291 -5.44663 -12.6129
1 -53.8975 -3.86033 -11.0496
1 -55.617 -2.88607 -13.4167
1 -53.6028 -4.14438 -11.972
1 -50.2512 -5.83053 -13.0152
1 -50.6519 0.0844302 -12.8746
1 -48.998 -1.20652 -13.6345
1 -51.2925 0.985954 -11.8823
1 -50.1139 0.709041 -13.4694
1 -51.0423 -0.7141 -12.1165
1 -47.3868 -1.39328 -11.4529
1 -49.3017 -0.938255 -11.2296
1 -49.375 0.206775 -10.7708
1 -50.0116 0.965598 -10.563
1 -48.2837 1.87755 -10.593
1 -49.8422 1.71111 -12.0701
1 -48.5457 2.67016 -11.1647
1 -49.5717 2.52116 -11.5321
1 -47.79 2.51714 -11.8168
1 -49.9801 0.847758 -11.5647
1 -47.9579 -1.44798 -10.6217
1 -49.805 -0.63417 -10.4089
1 -48.5834 -0.421733 -10.7393
1 -48.9013 1.0529 -11.1059
1 -47.8607 -0.448446 -11.4455
1 -46.5751 1.5775 -10.8771
1 -48.1132 -1.77909 -9.35759
1 -47.4543 1.12193 -10.6611
1 -48.755 0.169412 -11.5761
1 -51.6704 0.0993464 -12.1973
1 -50.4633 0.0926633 -10.8016
1 -50.6642 -0.502966 -8.55622
1 -50.4572 -0.552559 -9.54277
1 -49.1542 0.419838 -13.6057
1 -48.2804 0.916424 -13.7474
1 -48.5633 -0.583328 -12.2213
1 -47.8215 -1.25978 -12.3647
1 -47.7724 0.0710269 -13.5295
1 -48.231 -0.750971 -13.1597
1 -49.6443 0.298826 -12.6321
1 -47.6584 1.36399 -13.0853
1 -49.721 -0.123776 -11.661
1 -48.4478 1.90975 -12.6526
1 -50.4013 0.985602 -12.4958
1 -48.8351 1.74503 -13.593
1 -50.6903 1.71047 -11.5205
1 -49.5401 1.37426 -12.9723
1 -48.5274 0.245321 -12.8019
1 -51.0401 0.149499 -9.97419
1 -50.7008 0.17471 -11.7804
1 -52.1435 -0.694929 -14.9058
1 -49.7367 -1.73016 -14.0806
1 -53.0095 -2.06588 -13.8677
1 -50.6445 -0.861403 -13.266
1 -50.0932 -0.784599 -14.1093
1 -53.3359 -2.67395 -14.6134
1 -51.1869 -5.60468 -12.4292
1 -51.775 -2.90018 -11.2779
1 -52.6112 -4.41301 -11.8374
1 -50.7583 -3.37086 -14.576
1 -48.4192 -2.87571 -14.4063
1 -47.7158 0.0333772 -10.4903
1 -50.0868 -0.638148 -12.4536
1 -49.4981 -2.19373 -12.5114
1 -49.597 -4.30218 -11.1247
1 -47.7655 -4.67758 -10.9753
1 -49.0982 -3.53933 -11.5603
1 -50.1141 -3.27732 -11.0788
1 -48.3713 -3.69185 -9.99164
1 -48.385 -4.79457 -9.75868
1 -48.097 -4.06059 -11.7025
1 -48.2752 -2.78775 -9.31896
1 -47.8298 -3.64643 -9.01497
1 -48.7289 -4.10929 -9.09426
1 -47.0829 -3.21615 -10.4475
1 -47.2704 -3.1234 -11.5893
1 -46.8693 -4.11195 -10.8993
1 -48.2416 -3.07621 -11.8835
1 -47.4435 -3.17092 -12.6338
1 -47.8978 -2.27758 -12.5017
1 -47.5059 -4.21102 -10.1069
1 -47.0402 -2.21483 -11.9716
1 -47.2169 -1.75608 -13.0365
1 -46.999 -2.1843 -10.8517
1 -49.2219 -3.00801 -9.63118
1 -47.237 -4.93474 -11.8248
1 -49.2051 -2.00189 -9.74353
1 -51.2299 -3.03776 -8.21418
1 -49.6175 -1.85451 -7.35701
1 -51.4542 -3.67097 -7.46089
1 -52.1439 -2.92178 -7.33337
1 -50.3037 -2.25785 -7.98392
1 -52.0159 -2.40491 -8.19108
1 -50.6494 -3.02595 -7.35708
1 -50.1451 -2.28952 -9.47801
1 -47.9155 -2.28052 -11.265
1 -48.6339 -4.17746 -10.8507
1 -48.2325 -5.02953 -11.9609
1 -49.6749 -3.94675 -9.42989
1 -48.7222 -2.18839 -11.8641
1 -47.9547 -3.43011 -10.9092
1 -49.902 -5.26422 -11.148
1 -52.3467 -5.23201 -14.4625
1 -49.1856 -5.45498 -11.8485
1 -48.2453 -2.33359 -10.2195
1 -48.9074 -5.17278 -10.8499
1 -49.3016 -4.58322 -10.1277
1 -48.9306 -2.77235 -8.53391
1 -49.3338 -3.5382 -10.4939
1 -46.1186 -2.61277 -12.0769
1 -46.3649 -4.43059 -11.7657
1 -46.3027 -3.34789 -11.4087
1 -48.7658 -2.81601 -10.9384
1 -50.4661 -2.46908 -12.4293
1 -49.324 -1.24833 -12.199
1 -47.398 0.820101 -9.69861
1 -48.2374 -1.9786 -8.36641
1 -47.7742 -0.751659 -6.99124
1 -48.6289 -0.371734 -7.43514
1 -47.794 -1.67546 -6.43947
1 -48.1242 -1.12077 -4.5673
1 -48.5559 -1.47453 -7.51861
1 -47.3066 -2.17772 -8.87349
1 -47.5721 0.575899 -8.71555
1 -46.9393 -0.152965 -8.41097
1 -47.9397 -0.63829 -9.76391
1 -49.5749 -0.70437 -8.47858
1 -48.1463 1.35828 -9.27184
1 -48.7513 -1.15992 -10.0653
1 -48.3466 0.807686 -10.2921
1 -49.5391 -0.967669 -9.45861
1 -48.9607 0.73075 -8.94079
1 -49.8133 0.194575 -8.87658
1 -48.6694 -1.06124 -8.91741
1 -45.2349 0.0917178 -11.7256
1 -44.002 -2.03472 -11.5419
1 -42.7951 -2.19222 -8.83467
1 -42.5593 -3.56755 -8.13695
1 -43.7319 -2.51351 -9.03507
1 -43.1438 -1.38821 -8.31651
1 -43.0293 -2.46126 -10.1069
1 -41.9821 -2.62504 -10.6347
1 -41.8333 -3.20182 -9.03051
1 -43.4821 -2.6423 -7.87015
1 -42.9554 -1.57669 -9.62203
1 -41.8778 -1.87691 -9.16064
1 -41.9682 -1.10342 -8.48562
1 -40.8617 -2.08263 -8.83632
1 -42.364 -3.18881 -9.88904
1 -41.3962 -1.79549 -4.98288
1 -40.1228 -3.061 -6.32194
1 -42.0806 -3.35889 -5.41735
1 -40.2951 -2.1438 -5.15493
1 -38.4078 -2.51873 -3.68104
1 -37.9186 -1.86014 -4.35324
1 -37.6532 -3.67222 -4.6487
1 -39.0471 -4.18277 -4.53444
1 -37.4476 -2.76104 -4.16506
1 -37.042 -3.47489 -5.46362
1 -38.0649 -2.88423 -5.30044
1 -38.526 -3.59227 -3.28446
1 -38.5349 -3.31721 -4.30633
1 -39.7937 -1.47346 -4.57131
1 -41.9496 -1.86295 -6.85602
1 -40.911 -2.60668 -6.77343
1 -43.1122 -2.61851 -5.16713
1 -41.5177 -4.29322 -6.44082
1 -41.4447 -3.73455 -4.71273
1 -41.8448 -2.34809 -3.69398
1 -41.6839 -1.53241 -5.93067
1 -40.4501 -4.0204 -6.19328
1 -41.1029 -2.78578 -4.9182
1 -41.8321 -4.01737 -7.37231
1 -41.0477 -1.42352 -7.00334
1 -41.4724 -2.64798 -8.2648
1 -42.1466 -4.48393 -5.65515
1 -41.739 -2.8263 -7.30774
1 -43.6347 -3.58588 -8.41481
1 -42.48 -2.53574 -7.93222
1 -41.5802 -1.74865 -7.80722
1 -40.6886 -3.13421 -7.85304
1 -40.5684 -2.13576 -7.60242
1 -42.6082 -3.32333 -7.15728
1 -41.0629 -5.57373 -8.11601
1 -42.5621 -4.53185 -6.88773
1 -42.4196 -1.87873 -4.93028
1 -43.5413 -2.95077 -6.6233
1 -43.098 -2.11086 -6.04267
1 -40.9464 -3.61755 -6.98591
1 -42.7817 -3.45314 -6.17063
1 -39.5608 -0.948664 -6.07471
1 -39.7031 -0.485535 -5.07019
1 -39.0267 -1.11556 -6.94696
1 -39.6203 -2.13682 -6.44079
1 -38.2988 -1.07124 -6.14334
1 -40.4473 -0.450796 -5.75659
1 -38.7937 -0.961372 -5.23501
1 -40.0219 -0.166271 -6.77531
1 -39.3484 -0.325485 -7.57843
1 -40.2595 0.501345 -6.03828
1 -39.3325 -1.77985 -5.51773
1 -42.8353 -2.32812 -6.99682
1 -40.6517 -1.40356 -6.05198
1 -41.0485 -2.30855 -5.81636
1 -42.6416 -1.26757 -5.72692
1 -41.1293 -3.31975 -5.81657
1 -41.8573 -0.760303 -6.6785
1 -41.9217 -2.93632 -6.31973
1 -42.876 -3.94051 -5.15143
1 -42.0669 -2.76294 -4.59175
1 -42.9084 -3.20731 -9.0235
1 -44.6936 -1.49151 -11.0279
1 -43.9593 -1.80821 -9.75091
1 -43.9091 -2.36679 -10.5921
1 -45.2608 -0.642746 -12.4212
1 -48.9983 -0.205188 -9.84386
1 -46.8185 -0.973665 -10.7318
1 -47.5926 -0.808502 -8.82344
1 -49.9101 0.225577 -9.88384
1 -46.4135 -1.01468 -9.60001
1 -47.3399 0.400299 -12.3605
1 -47.8717 1.5714 -11.4623
1 -46.8688 -0.438012 -11.6425
1 -49.134 0.986474 -12.0971
1 -48.8073 1.85942 -11.7084
1 -48.1397 1.01522 -12.2666
1 -47.8379 0.563671 -11.4094
1 -47.3143 -0.504155 -12.8103
1 -46.8274 0.55675 -11.4724
1 -48.209 0.27851 -9.43957
1 -49.2484 0.987724 -9.87452
1 -46.7158 0.169064 -10.5232
1 -45.9401 -0.480729 -10.5078
1 -45.7577 0.761961 -10.111
1 -45.9085 0.447943 -11.0606
1 -47.3039 -1.42172 -9.84854
1 -56.2419 3.55996 -3.74666
1 -56.3133 3.42324 -2.34165
1 -55.6607 4.37785 -3.85919
1 -56.5771 5.15276 -4.73604
1 -55.3267 2.96664 -3.29191
1 -56.0341 5.3435 -3.5787
1 -54.7296 4.45877 -2.9729
1 -53.9418 4.56958 -5.72064
1 -52.359 2.25409 -4.37511
1 -53.7091 4.55762 -3.72849
1 -56.825 10.4977 1.14813
1 -58.0966 9.64272 0.916499
1 -59.2536 9.53547 0.869329
1 -58.2324 9.46378 -0.0702345
1 -56.0486 9.94061 2.63075
1 -58.5112 10.6017 -0.383198
1 -57.5865 9.00165 2.59564
1 -58.2957 10.7574 2.65253
1 -55.9897 11.0664 1.16195
1 -58.4894 11.0438 1.682
1 -57.1988 9.53632 1.37447
1 -56.8337 11.5976 2.18467
1 -56.3672 10.7021 2.02416
1 -56.3316 7.00625 1.78146
1 -58.1974 9.78161 2.40387
1 -55.318 9.95385 1.87765
